,Kanji,Furigana,Meaning
0,日,ひ -び -か,Day | Sun | Japan | Counter For Days
1,一,ひと- ひと.つ,One | One Radical (no.1)
2,国,くに,Country
3,会,あ.う あ.わせる あつ.まる,Meeting | Meet | Party | Association | Interview | Join
4,人,ひと -り -と,Person
5,年,とし,Year | Counter For Years
6,大,おお- おお.きい -おお.いに,Large | Big
7,十,とお と,Ten
8,二,ふた ふた.つ ふたたび,Two | Two Radical (no. 7)
9,本,もと,Book | Present | Main | Origin | True | Real | Counter For Long Cylindrical Things
10,中,なか うち あた.る,In | Inside | Middle | Mean | Center
11,長,なが.い おさ,Long | Leader | Superior | Senior
12,出,で.る -で だ.す -だ.す い.でる い.だす,Exit | Leave | Go Out | Come Out | Put Out | Protrude
13,三,み み.つ みっ.つ,Three
14,同,おな.じ,Same | Agree | Equal
15,時,とき -どき,Time | Hour
16,政,まつりごと まん,Politics | Government
17,事,こと つか.う つか.える,Matter | Thing | Fact | Business | Reason | Possibly
18,自,みずか.ら おの.ずから おの.ずと,Oneself
19,行,い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う おこ.なう,Going | Journey | Carry Out | Conduct | Act | Line | Row | Bank
20,社,やしろ,Company | Firm | Office | Association | Shrine
21,見,み.る み.える み.せる,See | Hopes | Chances | Idea | Opinion | Look At | Visible
22,月,つき,Month | Moon
23,分,わ.ける わ.け わ.かれる わ.かる わ.かつ,Part | Minute Of Time | Segment | Share | Degree | One's Lot | Duty | Understand | Know | Rate | 1% | Chances | Shaku/100
24,議,,Deliberation | Consultation | Debate | Consideration
25,後,のち うし.ろ うしろ あと おく.れる,Behind | Back | Later
26,前,まえ -まえ,In Front | Before
27,民,たみ,People | Nation | Subjects
28,生,い.きる い.かす い.ける う.まれる うま.れる う.まれ うまれ う.む お.う は.える は.やす き なま なま- な.る な.す む.す -う,Life | Genuine | Birth
29,連,つら.なる つら.ねる つ.れる -づ.れ,Take Along | Lead | Join | Connect | Party | Gang | Clique
30,五,いつ いつ.つ,Five
31,発,た.つ あば.く おこ.る つか.わす はな.つ,Departure | Discharge | Publish | Emit | Start From | Disclose | Counter For Gunshots
32,間,あいだ ま あい,Interval | Space
33,対,あいて こた.える そろ.い つれあ.い なら.ぶ むか.う,Vis-a-vis | Opposite | Even | Equal | Versus | Anti- | Compare
34,上,うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.せる のぼ.す たてまつ.る,Above | Up
35,部,-べ,Section | Bureau | Dept | Class | Copy | Part | Portion | Counter For Copies Of A Newspaper Or Magazine
36,東,ひがし,East
37,者,もの,Someone | Person
38,党,なかま むら,Party | Faction | Clique
39,地,,Ground | Earth
40,合,あ.う -あ.う あ.い あい- -あ.い -あい あ.わす あ.わせる -あ.わせる,Fit | Suit | Join | 0.1
41,市,いち,Market | City | Town
42,業,わざ,Business | Vocation | Arts | Performance
43,内,うち,Inside | Within | Between | Among | House | Home
44,相,あい-,Inter- | Mutual | Together | Each Other | Minister Of State | Councillor | Aspect | Phase | Physiognomy
45,方,かた -かた -がた,Direction | Person | Alternative
46,四,よ よ.つ よっ.つ よん,Four
47,定,さだ.める さだ.まる さだ.か,Determine | Fix | Establish | Decide
48,今,いま,Now
49,回,まわ.る -まわ.る -まわ.り まわ.す -まわ.す まわ.し- -まわ.し もとお.る か.える,-times | Round | Game | Revolve | Counter For Occurrences
50,新,あたら.しい あら.た あら- にい-,New
51,場,ば,Location | Place
52,金,かね かな- -がね,Gold
53,員,,Employee | Member | Number | The One In Charge
54,九,ここの ここの.つ,Nine
55,入,い.る -い.る -い.り い.れる -い.れ はい.る,Enter | Insert
56,選,えら.ぶ,Elect | Select | Choose | Prefer
57,立,た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て -だ.てる,Stand Up | Rise | Set Up | Erect
58,開,ひら.く ひら.き -びら.き ひら.ける あ.く あ.ける,Open | Unfold | Unseal
59,手,て て- -て た-,Hand
60,米,こめ よね,Rice | Usa | Metre
61,力,ちから,Power | Strength | Strong | Strain | Bear Up | Exert
62,学,まな.ぶ,Study | Learning | Science
63,問,と.う と.い とん,Question | Ask | Problem
64,高,たか.い たか -だか たか.まる たか.める,Tall | High | Expensive
65,代,か.わる かわ.る かわ.り か.わり -がわ.り -が.わり か.える よ しろ,"Substitute | Change | Convert | Replace | Period | Age | Counter For Decades Of Ages, Eras, Etc. | Generation | Charge | Rate | Fee"
66,明,あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる あ.かす,Bright | Light
67,実,み みの.る まこと みの みち.る,Reality | Truth
68,円,まる.い まる まど まど.か まろ.やか,Circle | Yen | Round
69,関,せき -ぜき かか.わる からくり かんぬき,Connection | Barrier | Gateway | Involve | Concerning
70,決,き.める -ぎ.め き.まる さ.く,Decide | Fix | Agree Upon | Appoint
71,子,こ -こ ね,Child | Sign Of The Rat | 11pm-1am | First Sign Of Chinese Zodiac
72,動,うご.く うご.かす,Move | Motion | Change | Confusion | Shift | Shake
